1,2558,1506.09,456.63,90,6395000,40.88,7.89,29780,0.19,214.7,0.21,0.26,0.49,0.1,0.4,99.59,32.19,1.84,0.16,0.2,87.65,0,0.47,132.78,-0.01,3.78,0.22,3.2,-3.71,-0.18,2.19,0,2.19,310,16110,0,138.68,89,69,2850,1000,763.16,135.46,3.73,0,33243.19,65.74,7.95,1
2,22325,79.11,841.03,180,55812500,51.11,1.21,61900,0.02,901.7,0.02,0.03,0.11,0.01,0.11,6058.23,4061.15,2.3,0.02,0.02,87.65,0,0.58,132.78,-0.01,3.78,0.84,7.09,-2.21,0,0,0,0,704,40140,0,68.65,89,69,5750,11500,9593.48,1648.8,0.6,0,51572.04,65.73,6.26,0
3,115,1449.85,608.43,88,287500,40.42,7.34,3340,0.18,86.1,0.21,0.32,0.5,0.17,0.34,71.2,16.73,1.82,0.19,0.29,87.65,0,0.46,132.78,-0.01,3.78,0.7,4.79,-3.36,-0.23,1.95,0,1.95,29,1530,0.01,38.8,89,69,1400,250,150,45.13,9.33,1,31692.84,65.81,7.84,1
4,1201,1562.53,295.65,66,3002500,42.4,7.97,18030,0.19,166.5,0.21,0.26,0.48,0.1,0.38,120.22,33.47,1.91,0.16,0.21,87.65,0,0.48,132.78,-0.01,3.78,0.84,6.78,-3.54,-0.33,2.2,0,2.2,183,10080,0,108.27,89,69,6041.52,761.58,453.21,144.97,13.33,1,37696.21,65.67,8.07,1
5,312,950.27,440.86,37,780000,41.43,7.03,3350,0.17,232.8,0.15,0.19,0.35,0.09,0.26,289.19,48.68,1.86,0.13,0.16,87.65,0,0.47,132.78,-0.01,3.78,0.02,2.28,-3.44,-0.44,2.19,0,2.19,45,2340,0,14.39,89,69,1320.04,710.63,512.54,109.16,2.58,0,29038.17,65.66,7.35,0
6,54,1438.13,544.91,82,135000,44.67,6.92,1570,0.15,86,0.18,0.25,0.53,0.15,0.38,55.25,29.21,2.01,0.16,0.22,87.65,0,0.51,132.78,-0.01,3.78,0.57,3.34,-3.89,-0.25,1.96,0,1.96,12,720,0.01,18.26,89,69,608.28,200,150,52.22,4.06,0,30967.25,65.77,7.85,1
7,116,1446.29,580.94,97,290000,41.53,6.24,3660,0.15,79.2,0.21,0.3,0.49,0.14,0.35,207.31,21.67,1.87,0.17,0.27,87.65,0,0.47,132.78,-0.01,3.78,0.1,2.57,-3.5,-0.09,1.95,0,1.95,36,2070,0.01,46.19,89,69,1060.66,403.11,164.58,114.82,6.44,0,31258.37,65.79,7.85,1
8,57,28.68,715.39,141,142500,51.67,0.83,1810,0.02,78.7,0.02,0.03,0.07,0.02,0.05,5717,1678.13,2.32,0.02,0.03,87.65,0,0.59,132.78,-0.01,3.78,-0.07,3.34,-2.01,-0.4,1.95,0,1.95,18,1170,0.01,22.99,89,69,500,360.56,165.71,132.47,3.02,0,51985.06,65.67,6.25,0
9,188,964.23,456.23,22,470000,38.9,5.89,3720,0.15,126.3,0.19,0.24,0.38,0.09,0.29,125.35,49.55,1.75,0.14,0.19,87.65,0,0.44,132.78,-0.01,3.78,0.89,6.3,-3.58,-0.59,2.19,0,2.19,43,2610,0.01,29.44,89,69,1569.24,492.44,256.77,124.72,6.11,0,28871.82,65.67,7.36,1
10,64,903.02,274.88,33,160000,41.22,7.9,1850,0.19,86.5,0.19,0.25,0.36,0.12,0.24,64.34,22.56,1.85,0.19,0.25,87.65,0,0.47,132.78,-0.01,3.78,-0.51,1.86,-1.39,-0.63,2.2,0,2.2,17,1080,0.01,21.39,89,69,471.7,223.61,182.83,50.12,2.58,0,32053.95,65.58,7.35,1
11,59,1127.41,1507.76,42,147500,47.59,4.72,1800,0.1,81.9,0.11,0.14,0.23,0.09,0.14,431.19,73.4,2.14,0.1,0.13,87.65,0,0.54,132.78,-0.01,3.78,0.97,5.05,-3.64,-0.48,1.94,0,1.94,21,1260,0.01,21.97,89,69,707.11,212.13,120.21,47.73,5.88,0,55128.46,66.18,7.18,1
1,329,1627.54,1409.43,51,822500,35,6.1,4610,0.17,178.4,0.2,0.24,0.39,0.12,0.27,138.32,34.81,2.02,0.14,0.19,75.26,0,0.47,351.67,0.18,9.24,0.38,2.57,-2.96,-0.28,1.93,0,1.93,34,1710,0,25.84,78,55,1460.31,710.63,451.78,150.85,3.23,0,4530.75,66.25,7.85,0
2,3234,1091.56,1357.96,32,8085000,40.08,8.98,25450,0.22,317.7,0.18,0.2,0.49,0.09,0.41,114.69,41.87,2.31,0.15,0.18,75.26,0,0.53,351.67,0.18,9.24,0.24,3.56,-3.09,-0.31,2.17,0,2.17,281,14490,0,80.11,78,55,4287.77,3095.56,1937.42,773.69,2.21,0,4927.51,66.15,7.24,0
3,2339,1537.68,1633.02,45,5847500,38.13,9.29,22110,0.24,264.5,0.21,0.26,0.79,0.08,0.71,89.49,32.23,2.2,0.17,0.22,75.26,0,0.51,351.67,0.18,9.24,0.27,4.21,-2.84,-0.29,2.16,0,2.16,228,12150,0,83.6,78,55,3959.8,2404.16,1530.38,659.67,2.59,0,4732.04,66.34,7.67,0
4,2971,1020.91,630.8,59,7427500,32.76,10.48,17380,0.32,427.4,0.22,0.29,0.5,0.08,0.42,149.87,50.99,1.89,0.14,0.18,75.26,0,0.44,351.67,0.18,9.24,2.5,10.63,-3.07,-0.28,2.18,0,2.18,164,8730,0,40.67,78,55,5650.88,1749.29,1245.07,348.7,4.54,0,25579.34,65.78,7.41,1
5,3155,1118.08,469.39,11,7887500,30.41,7.99,15880,0.26,496.7,0.2,0.26,0.69,0.11,0.58,118.11,43.96,1.76,0.15,0.18,75.26,0,0.4,351.67,0.18,9.24,0.78,8.68,-3.19,-0.33,2.19,0,2.19,150,8100,0,31.97,78,55,3471.31,3059.41,2043.9,477.23,1.7,0,28172.07,65.72,7.58,1
6,11475,1249.47,1386.03,41,28687500,38.57,9.5,58790,0.25,488,0.18,0.21,0.6,0.06,0.54,111.73,40.41,2.23,0.16,0.19,75.26,0,0.51,351.67,0.18,9.24,0.1,3.49,-2.83,-0.24,2.17,0,2.17,623,34290,0,120.48,78,55,6340.54,4816.64,3894.1,593.54,1.63,0,5514.48,66.18,7.41,0
