1.24,0.875,-0.205,-0.078,0.067,0
0.268,1.352,1.035,-0.332,0.217,0
1.567,0.867,1.3,1.041,0.559,0
0.279,0.99,2.555,-0.738,0.0,0
0.307,1.272,2.656,-0.946,-0.467,0
0.96,0.712,-0.143,0.091,-0.061,0
2.941,0.657,1.493,-0.331,-0.123,0
0.401,1.159,2.064,-0.69,-0.308,0
0.229,1.748,0.634,0.259,0.0,0
0.303,0.609,0.474,1.427,-0.811,1
0.318,0.811,0.818,0.821,0.86,1
0.655,1.054,1.372,-0.724,1.77,1
0.105,0.576,0.342,0.83,0.0,1
0.541,2.145,-0.562,-0.228,-0.141,1
1.404,1.531,0.476,1.601,-0.424,0
0.532,1.963,-0.355,0.191,-0.122,0
0.108,0.464,1.302,1.08,-0.349,0
0.807,2.227,-0.556,-0.225,0.161,0
1.039,2.271,1.699,-0.369,-0.168,1
0.316,1.36,1.986,-0.624,0.497,0
0.136,0.736,1.847,1.073,-0.424,0
0.533,2.581,-0.595,-0.227,-0.123,0
0.151,0.642,1.454,1.281,-0.716,1
0.533,2.139,0.629,0.241,-0.1,0
0.6,1.405,2.477,-0.701,-0.272,1
0.699,2.295,0.67,0.403,-0.391,0
0.619,2.238,-0.417,-0.184,-0.125,0
0.111,0.299,0.404,0.694,0.0,0
0.648,2.479,1.064,-0.317,0.0,0
1.669,2.226,0.545,0.229,-0.139,0
0.416,1.689,0.756,-0.252,-0.145,0
0.06,0.225,0.119,0.264,0.912,0
0.492,2.604,-0.594,0.313,-0.147,0
0.747,1.029,1.346,-0.998,1.722,1
1.312,2.591,0.874,0.534,-0.175,0
0.121,0.311,0.588,1.978,-0.652,0
0.626,2.317,0.766,0.411,-0.305,0
2.881,0.896,0.495,0.475,-0.113,0
0.96,1.09,0.513,1.114,0.729,1
0.48,1.502,2.495,-0.692,0.402,1
3.386,-0.301,0.136,-0.078,-0.055,0
1.089,1.423,-0.387,-0.123,0.09,0
0.27,0.959,1.687,1.705,0.0,0
2.571,-0.235,0.201,0.137,-0.133,0
0.912,2.285,-0.449,-0.159,-0.099,0
0.531,2.105,-0.397,-0.201,-0.103,0
0.125,0.548,0.795,0.836,0.0,1
